ID,Item,Product,Quantity,TotalNetValue,Pervious,Current,Total,parent_ID,createdAt,createdBy,modifiedAt,modifiedBy
1a2b3c4d-1111-4a2b-8c1d-aaaabbbb0001,10,MAT-1001,100,50000,20000,30000,50000,8c1f7a9e-5b4c-4d2a-9f01-1a2b3c4d5e01,2026-03-21T10:00:00Z,anonymous,2026-03-21T10:00:00Z,anonymous
2b3c4d5e-2222-4b3c-9d2e-bbbbcccc0002,20,MAT-1002,200,80000,30000,50000,80000,91a2b3c4-d5e6-47f8-9012-3a4b5c6d7e02,2026-03-21T10:00:00Z,anonymous,2026-03-21T10:00:00Z,anonymous

3c4d5e6f-3333-4c4d-0e3f-ccccdddd0003,10,MAT-1003,150,75000,25000,50000,75000,a12b3c4d-5e6f-4789-9012-3b4c5d6e7f03,2026-03-21T10:00:00Z,anonymous,2026-03-21T10:00:00Z,anonymous
4d5e6f70-4444-4d5e-1f4g-ddddeeee0004,20,MAT-1004,120,60000,20000,40000,60000,b23c4d5e-6f78-4890-1234-4c5d6e7f8a04,2026-03-21T10:00:00Z,anonymous,2026-03-21T10:00:00Z,anonymous

5e6f7081-5555-4e6f-2g5h-eeeeffff0005,10,SERV-2001,50,25000,10000,15000,25000,c34d5e6f-7890-4a12-3456-5d6e7f8a9b05,2026-03-21T10:00:00Z,anonymous,2026-03-21T10:00:00Z,anonymous
6f708192-6666-4f70-3h6i-ffff00001111,20,SERV-2002,40,20000,8000,12000,20000,d45e6f78-9012-4b34-5678-6e7f8a9b0c06,2026-03-21T10:00:00Z,anonymous,2026-03-21T10:00:00Z,anonymous

708192a3-7777-4071-4i7j-000011112222,10,MAT-1005,300,90000,30000,60000,90000,e56f7890-1234-4c56-7890-7f8a9b0c1d07,2026-03-21T10:00:00Z,anonymous,2026-03-21T10:00:00Z,anonymous
8192a3b4-8888-4172-5j8k-111122223333,20,MAT-1006,250,85000,35000,50000,85000,f6789012-3456-4d78-9012-8a9b0c1d2e08,2026-03-21T10:00:00Z,anonymous,2026-03-21T10:00:00Z,anonymous
