ID,primaverawbs,primaverawbsCode,parent_ID,pjHierarchies_ID
# ================= PROJECT 1 =================
660e8400-e29b-41d4-a716-446655440001,Enterprise Implementation Program,ENT-1000,,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-446655440002,Business Requirement Finalization,ENT-1100,660e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-446655440003,System Configuration & Build,ENT-1200,660e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-446655440004,User Acceptance Testing,ENT-1300,,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-446655440005,Digital Transformation Initiative,DTI-2000,660e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-446655440006,Legacy System Assessment,DTI-2100,660e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-446655440007,Cloud Migration Execution,DTI-2200,,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-446655440008,Go-Live & Hypercare Support,DTI-2300,660e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-446655440009,Infrastructure Modernization Project,IMP-3000,660e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440001
# ================= PROJECT 2 =================
660e8400-e29b-41d4-a716-446655440010,PRJ002-Parent1,P2-1,,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-446655440011,PRJ002-Child1,P2-1-1,660e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-446655440012,PRJ002-Child2,P2-1-2,660e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-446655440013,PRJ002-Parent2,P2-2,,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-446655440014,PRJ002-Child1,P2-2-1,660e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-446655440015,PRJ002-Child2,P2-2-2,660e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-446655440016,PRJ002-Parent3,P2-3,,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-446655440017,PRJ002-Child1,P2-3-1,660e8400-e29b-41d4-a716-446655440016,550e8400-e29b-41d4-a716-446655440002
660e8400-e29b-41d4-a716-446655440018,PRJ002-Child2,P2-3-2,660e8400-e29b-41d4-a716-446655440016,550e8400-e29b-41d4-a716-446655440002

# ================= PROJECT 3 =================
660e8400-e29b-41d4-a716-446655440019,PRJ003-Parent1,P3-1,,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-446655440020,PRJ003-Child1,P3-1-1,660e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-446655440021,PRJ003-Child2,P3-1-2,660e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-446655440022,PRJ003-Parent2,P3-2,,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-446655440023,PRJ003-Child1,P3-2-1,660e8400-e29b-41d4-a716-446655440022,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-446655440024,PRJ003-Child2,P3-2-2,660e8400-e29b-41d4-a716-446655440022,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-446655440025,PRJ003-Parent3,P3-3,,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-446655440026,PRJ003-Child1,P3-3-1,660e8400-e29b-41d4-a716-446655440025,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-446655440027,PRJ003-Child2,P3-3-2,660e8400-e29b-41d4-a716-446655440025,550e8400-e29b-41d4-a716-446655440003

# ================= PROJECT 4 =================
660e8400-e29b-41d4-a716-446655440028,1200-Parent1,P4-1,,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-446655440029,1200-Child1,P4-1-1,660e8400-e29b-41d4-a716-446655440028,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-446655440030,1200-Child2,P4-1-2,660e8400-e29b-41d4-a716-446655440028,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-446655440031,1200-Parent2,P4-2,,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-446655440032,1200-Child1,P4-2-1,660e8400-e29b-41d4-a716-446655440031,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-446655440033,1200-Child2,P4-2-2,660e8400-e29b-41d4-a716-446655440031,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-446655440034,1200-Parent3,P4-3,,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-446655440035,1200-Child1,P4-3-1,660e8400-e29b-41d4-a716-446655440034,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-446655440036,1200-Child2,P4-3-2,660e8400-e29b-41d4-a716-446655440034,550e8400-e29b-41d4-a716-446655440004

# ================= PROJECT 5 =================
660e8400-e29b-41d4-a716-446655440037,PRJ005-Parent1,P5-1,,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-446655440038,PRJ005-Child1,P5-1-1,660e8400-e29b-41d4-a716-446655440037,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-446655440039,PRJ005-Child2,P5-1-2,660e8400-e29b-41d4-a716-446655440037,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-446655440040,PRJ005-Parent2,P5-2,,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-446655440041,PRJ005-Child1,P5-2-1,660e8400-e29b-41d4-a716-446655440040,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-446655440042,PRJ005-Child2,P5-2-2,660e8400-e29b-41d4-a716-446655440040,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-446655440043,PRJ005-Parent3,P5-3,,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-446655440044,PRJ005-Child1,P5-3-1,660e8400-e29b-41d4-a716-446655440043,550e8400-e29b-41d4-a716-446655440005
660e8400-e29b-41d4-a716-446655440045,PRJ005-Child2,P5-3-2,660e8400-e29b-41d4-a716-446655440043,550e8400-e29b-41d4-a716-446655440005
