ID,subcontractId,subcontractName,description,subcontractType,unitOfMeasure,parent_ID,createdAt,createdBy,modifiedAt,modifiedBy
1e1eb72e-9a0a-4dc7-91f0-5b9968ce26b5,10000133,Polyethylene_Film_5Layers_50Micron_Blue,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
2ec2f577-0618-4cf6-8046-ad83b3ce7675,10000062,20 HARD FOAM SHEET,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
3d4c1faa-152c-433a-8422-e6e8b4a87d17,10000132,Polyethylene_Film_3Layers_50Micron_Red,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
3ed00e02-97b0-45b3-a33e-b72aac2ae40a,10000102,Coupling,,ERSA,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
6b91d729-0526-41ac-8db4-9eea643407a8,10000061,Polyester Fabric,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
7c4361b3-ec20-4113-9663-901cb828b423,10000059,13 NORMAL FOAM SHEET,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
978f3b14-1b6a-4d65-949f-596431971013,10000000,2BHK,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
c01896e8-d09a-4ce7-af34-0339f61c3dd8,10000111,Brackets,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
ced6cfc3-053e-40eb-af5c-e44fcdd75b46,10000060,BLACK,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
f5e7b792-b580-4177-86e9-ecb605cc828e,10000110,Track,,ROH,EA,0b9c08e9-2901-4436-8aa5-ecdfca119dee,2026-02-19T09:45:21.102357300Z,anonymous,2026-02-19T09:45:21.095903800Z,anonymous
