ID,name,description,company_CompanyCode
22c18b6b-9b64-4f39-891a-69e8956e9935,Excavator,Heavy machine used for digging and earthmoving,1000
cc09f98e-3714-4e41-b3c5-50095de6e1db,Bulldozer,Construction vehicle used for pushing soil and debris,1000
83375b35-48a7-4f9e-9585-1f887f529959,Crane,Tower or mobile crane used for lifting heavy materials,1200
e923e9f6-b659-4a88-903e-4312f6aef82c,Concrete Mixer,Machine used for mixing cement concrete,1200
a1f5c9d3-7e42-4a6a-9b81-2e4c8d9f1101,Backhoe Loader,Versatile machine for digging and material handling,1000
b7e8d2c4-3a91-4f9d-8c02-5a6e9d1f2202,Wheel Loader,Equipment used for loading and transporting loose material,1000
c9d4e7f1-8b26-4e90-9f55-7d2c3a8b3303,Dump Truck,Heavy-duty vehicle for transporting construction materials,1000
d3a6f9c8-2e51-4c2d-9a6b-8e4d5f1c4404,Motor Grader,Machine used for leveling and grading surfaces,1200
e8b1d6f2-5c79-4d89-9e2c-1a7f9b6d5505,Road Roller,Compaction equipment for soil asphalt and concrete,1200
f4c2e9b7-6a13-4f8c-8b9d-3e5a7c2f6606,Asphalt Paver,Machine used for laying asphalt on roads and surfaces,1200
0a9e4c2f-1b77-4d63-9c3a-8e5f6d7b7707,Piling Rig,Equipment used for foundation piling operations,1000
1c7f8b9e-5a22-4e6f-8d44-9b2c3f1a8808,Concrete Pump,Machine used to transfer liquid concrete to placement site,1200
5d1a7c8e-2b44-4f91-9e6a-3c8b5d2f9901,Hydraulic Breaker,Attachment used for breaking concrete and rock surfaces,1000
6e9b4f1a-7c55-4d82-8a9c-4b2d1f3e9902,Soil Compactor,Equipment used for compacting soil and granular materials,1200
7f2c1b9d-8a66-4e93-9b1d-5c4e2a1f9903,Skid Steer Loader,Compact machine for loading and site maneuvering tasks,1000
8a3d9e2c-9b77-4fa4-8c2e-6d5b3a2f9904,Concrete Vibrator,Tool used to remove air bubbles from poured concrete,1200
9b4e1c3a-a888-4fb5-9d3f-7e6c4b3a9905,Air Compressor,Machine used to supply compressed air for construction tools,1000
